#############FID_486.csv##################
Species,individuals_freq,Cover_percentage
Artemisia_fragrans,25,15
Artemisia_moorcroftiana,35,20
Scrophularia_koelzii,4,1
Euphorbia_tibetica,15,3
Stipa_himalaica_(g),7,4
Piptatherum_gracile_(g),5,1
Stipa_splendens_(g),6,1.5
Nepeta_leucolaena,4,2
Salsola_tragus,7,5
Melica_persica_(g),5,2
Krascheninnikovia_ceratoides,3,3
Rosa_webbiana,1,4
Stachys_tibetica,15,8
Juniperus_semiglobosa,1,5
Cicer_microphyllum,2,1
Matthiola_chorassanica,5,3
#############FID_691.csv##################
Species,individuals_freq,Cover_percentage
Tanacetum_fruticulosum,2,2
Oxytropis_tatarica,1,0.1
Matthiola_chorassanica,7,4
Astragalus_oplites,4,3
Askellia_flexuosa,1,1
Rosa_webbiana,1,1
Juniperus_semiglobosa,1,5
#############FID_692.csv##################
Species,individuals_freq,Cover_percentage
Cousinia_thomsonii,5,2
Acontholimon_lycopodioides,5,4
Minuartia_foliosa,40,15
Cicer_microphyllum,1,1
